label;label_text;text
0;not vague;Global criteria emission standards have led to lower vehicle emissions   and, in turn, to major improvements in air quality.
0;not vague;By the end of 2022, we had reduced the  weighted average carbon intensity of our  credit and equity investments (shareholder  and with-profits portfolio only) by 39%  compared against a 2019 baseline.
0;not vague;Our 2025 Global Manufacturing Water Strategy targets a 15% reduction   in absolute freshwater usage from a 2019 base year.
0;not vague;Goldman Sachs 2022 Sustainability Report Monolith uses carbon-free energy as part of a proprietary process to convert  conventional and renewable natural gas to hydrogen and carbon black.
0;not vague;In 2022 alone, we diverted approximately 1,209 metrics tons of meat waste from  the landfill.
1;vague;We have set long-term goals and interim targets to  address climate-related risks.
0;not vague;In 2017, we launched the second phase of our global waste management  strategy which was focused on minimizing waste generated from high- volume streams and managing the waste we generate to avoid landfill  disposal.
0;not vague;We take  the negative impact of these packaging materials  on the environment very seriously, with a number  of actions taken in FY2023, including packaging  reduction, material replacement, packaging  optimization, and packaging recycling.
0;not vague;For 100 years, CNPS has been active in communities across our network   to promote safe behaviour around rail lines.
1;vague;We are working with our clients and partners to mobilize development of solutions to  capture meaningful, decision-useful metrics.
0;not vague;We are also  continuing to raise awareness internally and  with our suppliers, while working with  charities and social enterprises that tackle  modern slavery and support survivors.
1;vague;Increased our use of  recycled materials We are making progress toward  our goal of transitioning to  100 percent recycled and  renewable materials in our  products.
0;not vague;The two largest public policy advocacy issues for 2022 related to the promotion of clean hydrogen production and carbon capture policies.
0;not vague;The assembly plant at BlueOval City in Tennessee is designed to be   carbon neutral and send zero waste to landfill once fully operational  in 2025.
0;not vague;The pilot project  is projected to recycle approximately 22 tons of plastic.
1;vague;To cover  our needs, we build our own renewable power projects  and work with utilities to purchase clean energy from  locally obtained resources.
1;vague;The goal of this  platform remains the same: Achieve the scale to drive durable, long-term impact in the economy.
0;not vague;In FY23,  our NCGC reviewed our climate change  position and continued investor interest in  net zero strategies, science-based targets,  and human rights related to the third-party  use of our products.
0;not vague;BioNTech aims to develop and provide medicines to help affected people  while further reducing the Companys impact on the environment.
0;not vague;We are  committed to economic empowerment and aim to increase the number of  women-owned and historically disadvantaged-owned businesses in our global  supply chain.
0;not vague;BioNTech has teamed up with us and is advancing sustain- able mobility by flying with 100?ópercent sustainable aviation  fuel.
0;not vague;Throughout the year, we continued to  demonstrate results in reducing our emissions against  our 2030 goal.
0;not vague;Our Operations In 2022, we maintained Leadership in Energy and  Environmental Design (LEED) Gold certification or  its equivalent across our global portfolio.
0;not vague;In 2020 and 2021, we received the EPA Safer  Choice Partner of the Year Award for our work to scale the  use of safer process chemicals and protect those working  in our supply chain.
0;not vague;In 2022, Kraft Heinz joined the Consumer Good Forum (CGF) Food Waste Coalition of  Action.
0;not vague;This was accomplished through a  combination of ensuring excess water was not used, end of pipe recycling,  and securing a source of treated wastewater from an offsite location.
0;not vague;We are committed to respecting the United Nations (UN) Guiding   Principles on Business and Human Rights and support the UN  Sustainability Development Goals (SDGs).
1;vague;We intend to update our global water  risk assessment of our manufacturing facilities in 2023 and release a global water  policy in the next few years.
0;not vague;Verizon also participates in industry initiatives and partnerships to support responsible raw material sourcing in high-risk  countries and regions.
0;not vague;IDBs  $200ì??ómillion policy-based guarantee includes reforms and actions to foster  business recovery for micro-, small- and medium-sized enterprises in the  blue economy (i.e.,sustainable use of oceanic resources) and prospecting  investment projects suitable for blue bond financing.
0;not vague;We source recycled and renewable materials for our  products and packaging, and we use these materials  more efficiently.
0;not vague;Ford is committed to respecting human rights in everything we do.
0;not vague;Our teams continue to be trained on measures to improve fuel  efficiency, from the use of aerodynamic components on trucks to  innovative routing optimization initiatives.
0;not vague;We are also a board member of the  Platform for Accelerating the Circular Economy (PACE)  and co-lead the electronics program.
0;not vague;This allows customers to deliver services to their own  customers more efficiently and effectively while also  improving their risk and compliance posture.
1;vague;The program aims to inspire  entrepreneurs, youth, and women worldwide by  sharing experiences and practical examples from  China's digital economy development, fostering  digital talents, and promoting inclusive trade.
1;vague;These are the  opportunities that drive us through the challenging work  of creating circular supply chains.
0;not vague;As at the end of 2022, CN achieved   39.5% progress toward the 2030 target for Scope 3  GHG emissions.
0;not vague;Ford joined other major automotive manufacturers globally, along with the  Automotive Industry Action Group (AIAG) and Drive Sustainability, to make  needed changes and additions to the Automotive Industry Guiding  Principles to Enhance Sustainability Performance in the Supply Chain.ìù
1;vague;Our goal is to have better control of our energy usage by in-housing critical  production processes.
0;not vague;This global footprint  of recyclers also helps us build a more resilient recycling  supply chain and innovate with more suppliers around  the world.
0;not vague;To achieve our carbon neutrality goal, we are focusing on three areas that  account for approximately 95% of our carbon dioxide emissions our  vehicles, our operations, and our supply chain.
0;not vague;This online  tool, along with Climate Action Managers, will provide support for our  suppliers with measurement, management and reduction of carbon  emissions, water and waste as Ford strives to reach carbon neutrality  globally.
